__run_id,__done,run_number,library,dataframe_size,DAT,execution_time,cpu_usage,memory_usage,energy_usage
run_205,DONE,r3,Pandas,Small,q6,3.211692,658.667,0.3,31.178
run_301,DONE,r2,Pandas,Small,q6,3.162383,649.667,0.2,31.235
run_13,DONE,r4,Pandas,Small,q6,3.241943,654,0.3,31.397
run_237,DONE,r8,Pandas,Small,q6,3.245926,656.667,0.3,30.964
run_77,DONE,r1,Pandas,Small,q6,3.210733,648.333,0.3,31.206
run_141,DONE,r5,Pandas,Small,q6,3.201583,649,0.3,33.469
run_269,DONE,r6,Pandas,Small,q6,3.248431,655.333,0.3,31.178
run_109,DONE,r10,Pandas,Small,q6,3.21439,665.333,0.3,33.591
run_173,DONE,r7,Pandas,Small,q6,3.149596,660,0.2,31.092
run_45,DONE,r9,Pandas,Small,q6,3.171216,653.667,0.3,31.32
run_106,DONE,r4,Pandas,Small,q3,8.73692,440.25,0.4,66.403
run_10,DONE,r1,Pandas,Small,q3,8.764711,436,0.4,66.493
run_266,DONE,r9,Pandas,Small,q3,8.713679,438,0.4,66.919
run_298,DONE,r10,Pandas,Small,q3,8.656016,435.75,0.4,96.645
run_74,DONE,r3,Pandas,Small,q3,8.700663,434.375,0.413,98.289
run_234,DONE,r8,Pandas,Small,q3,8.59907,431.625,0.4,98.819
run_202,DONE,r7,Pandas,Small,q3,8.726513,434.375,0.4,98.897
run_42,DONE,r2,Pandas,Small,q3,8.680808,433.625,0.413,100.453
run_138,DONE,r5,Pandas,Small,q3,8.610885,436.5,0.412,103.295
run_170,DONE,r6,Pandas,Small,q3,8.727999,433.375,0.4,104.867
run_207,DONE,r7,Pandas,Small,q8,13.801747,342.692,0.408,129.628
run_111,DONE,r4,Pandas,Small,q8,13.982321,339.692,0.408,132.747
run_47,DONE,r2,Pandas,Small,q8,13.925113,311,0.408,132.838
run_143,DONE,r5,Pandas,Small,q8,13.91093,340.846,0.408,133.262
run_61,DONE,r2,Polars,Small,q6,12.016346,521.636,0.355,151.399
run_125,DONE,r4,Polars,Small,q6,11.603041,563.091,0.364,156.975
run_253,DONE,r8,Polars,Small,q6,11.711575,579.455,0.382,157.54
run_157,DONE,r5,Polars,Small,q6,11.63224,587,0.373,157.616
run_189,DONE,r6,Polars,Small,q6,11.804395,557.636,0.4,157.942
run_221,DONE,r7,Polars,Small,q6,11.561467,584.909,0.345,158.639
run_239,DONE,r8,Pandas,Small,q8,14.058542,343.154,0.408,160.6
run_29,DONE,r1,Polars,Small,q6,11.604985,578.182,0.373,160.87
run_317,DONE,r10,Polars,Small,q6,11.487066,601.182,0.391,161.788
run_93,DONE,r3,Polars,Small,q6,11.680792,578.182,0.355,162.356
run_15,DONE,r1,Pandas,Small,q8,13.762957,346,0.408,162.439
run_271,DONE,r9,Pandas,Small,q8,13.998117,343.462,0.408,162.707
run_303,DONE,r10,Pandas,Small,q8,13.879578,344.846,0.408,163.212
run_285,DONE,r9,Polars,Small,q6,11.81571,590.364,0.391,164.828
run_175,DONE,r6,Pandas,Small,q8,13.851478,338.846,0.408,165.828
run_79,DONE,r3,Pandas,Small,q8,14.063733,340.846,0.408,170.583
run_220,DONE,r7,Polars,Small,q5,15.980258,527.267,0.38,178.875
run_252,DONE,r8,Polars,Small,q5,16.006754,528.333,0.367,183.602
run_251,DONE,r8,Polars,Small,q4,15.893699,512.867,0.353,184.699
run_124,DONE,r4,Polars,Small,q5,15.56113,521.533,0.36,185.53
run_186,DONE,r6,Polars,Small,q3,16.08093,521.867,0.367,188.396
run_187,DONE,r6,Polars,Small,q4,15.717072,533.267,0.367,188.534
run_188,DONE,r6,Polars,Small,q5,15.85441,480.933,0.34,189.78
run_123,DONE,r4,Polars,Small,q4,15.748391,522.533,0.333,190.045
run_91,DONE,r3,Polars,Small,q4,16.011368,534.6,0.373,193.091
run_126,DONE,r4,Polars,Small,q7,16.701941,510.25,0.369,193.779
run_122,DONE,r4,Polars,Small,q3,15.887577,528.867,0.373,194.012
run_223,DONE,r7,Polars,Small,q8,15.818278,548.6,0.367,194.232
run_63,DONE,r2,Polars,Small,q8,16.352907,493.875,0.35,195.155
run_60,DONE,r2,Polars,Small,q5,15.60657,528.333,0.36,195.611
run_33,DONE,r2,Pandas,Big,q2,17.06898,279.875,0.569,197.445
run_312,DONE,r10,Polars,Small,q1,14.120317,712.308,0.392,198.404
run_56,DONE,r2,Polars,Small,q1,14.283786,721.786,0.379,198.62
run_193,DONE,r7,Pandas,Big,q2,17.176684,282,0.556,198.948
run_284,DONE,r9,Polars,Small,q5,15.554933,533.933,0.393,199.634
run_97,DONE,r4,Pandas,Big,q2,16.978423,280.875,0.569,200.248
run_65,DONE,r3,Pandas,Big,q2,17.126094,276.438,0.556,200.558
run_161,DONE,r6,Pandas,Big,q2,17.234849,273,0.518,200.777
run_282,DONE,r9,Polars,Small,q3,16.202137,532.933,0.387,201.375
