__run_id,__done,run_number,library,dataframe_size,DAT,execution_time,cpu_usage,memory_usage,energy_usage
run_34,DONE,r2,Pandas,Small,StatisticalAggregationSumMeanDAT,67.731952,129.106,0.144,839.009
run_66,DONE,r3,Polars,Small,FileTypes,11.828482,730.273,0.273,158.257
run_84,DONE,r4,Polars,Big,FileTypes,93.747047,757.593,1.432,1116.353
run_162,DONE,r7,Polars,Small,FileTypes,12.003093,736.273,0.291,156.95
run_12,DONE,r1,Polars,Big,FileTypes,94.120789,753.315,1.413,1382.506
run_161,DONE,r7,Polars,Big,ViewData,73.414077,2593.522,2.0,1698.367
run_149,DONE,r7,Pandas,Big,ViewData,758.563129,103.469,2.01,9867.249
run_212,DONE,r9,Polars,Small,MissingDataDAT,6.583174,1655.333,0.333,96.006
run_218,DONE,r10,Pandas,Big,MissingDataDAT,700.842368,103.016,2.305,9059.379
run_48,DONE,r3,Pandas,Big,FileTypes,603.786595,103.945,1.531,7748.639
run_200,DONE,r9,Pandas,Small,MissingDataDAT,94.946121,120.28,0.262,1208.175
run_113,DONE,r5,Polars,Big,ViewData,72.896101,2627.522,1.972,1613.331
run_5,DONE,r1,Pandas,Big,ViewData,765.790911,103.159,2.013,9919.602
run_163,DONE,r7,Polars,Small,InputOutputDAT,12.648094,351.083,0.033,143.583
run_79,DONE,r4,Pandas,Small,InputOutputDAT,108.604348,118.738,0.147,1383.585
run_210,DONE,r9,Polars,Small,FileTypes,11.803526,737.727,0.282,158.12
run_141,DONE,r6,Polars,Small,StatisticalAggregationMinMaxUnique,4.048892,1914.667,0.2,0.0
run_183,DONE,r8,Polars,Big,StatisticalAggregationMinMaxUnique,32.276875,1764.581,1.442,585.649
run_33,DONE,r2,Pandas,Small,StatisticalAggregationMinMaxUnique,65.761446,127.0,0.141,837.324
run_89,DONE,r4,Polars,Big,ViewData,72.850326,2558.826,1.974,1656.008
run_192,DONE,r9,Pandas,Big,FileTypes,595.490482,103.853,1.528,7688.825
run_102,DONE,r5,Pandas,Small,FileTypes,77.440367,125.684,0.161,991.572
run_72,DONE,r4,Pandas,Big,FileTypes,592.470271,103.983,1.541,7648.127
run_98,DONE,r5,Pandas,Big,MissingDataDAT,688.881325,103.722,2.28,8959.388
run_117,DONE,r5,Polars,Small,StatisticalAggregationMinMaxUnique,4.04599,1951.333,0.2,0.0
run_201,DONE,r9,Pandas,Small,StatisticalAggregationMinMaxUnique,66.57968,128.877,0.143,808.678
run_8,DONE,r1,Pandas,Small,MissingDataDAT,95.229263,121.667,0.257,1233.442
run_152,DONE,r7,Pandas,Small,MissingDataDAT,94.504987,120.914,0.257,1196.232
run_26,DONE,r2,Pandas,Big,MissingDataDAT,706.919162,102.582,2.293,9144.383
run_138,DONE,r6,Polars,Small,FileTypes,11.839568,739.545,0.282,162.084
run_209,DONE,r9,Polars,Big,ViewData,73.745133,2570.657,1.947,1669.098
run_135,DONE,r6,Polars,Big,StatisticalAggregationMinMaxUnique,32.561184,1849.968,1.455,562.536
run_166,DONE,r7,Polars,Small,StatisticalAggregationSumMeanDAT,3.741952,2031.667,0.2,50.528
run_86,DONE,r4,Polars,Big,MissingDataDAT,49.351482,1621.809,2.062,965.501
run_127,DONE,r6,Pandas,Small,InputOutputDAT,109.531063,122.102,0.145,1383.838
run_221,DONE,r10,Pandas,Big,ViewData,761.375235,103.204,2.007,9903.603
run_91,DONE,r4,Polars,Small,InputOutputDAT,12.577658,353.583,0.042,142.243
run_52,DONE,r3,Pandas,Big,StatisticalAggregationSumMeanDAT,513.115903,104.407,1.422,6609.73
run_101,DONE,r5,Pandas,Big,ViewData,762.108091,103.073,2.012,9825.035
run_17,DONE,r1,Polars,Big,ViewData,73.396219,2539.71,1.941,1646.577
run_36,DONE,r2,Polars,Big,FileTypes,92.760562,761.322,1.436,1395.753
run_85,DONE,r4,Polars,Big,InputOutputDAT,107.038818,339.771,0.327,1402.627
run_205,DONE,r9,Polars,Big,InputOutputDAT,107.005977,336.352,0.327,1435.155
run_196,DONE,r9,Pandas,Big,StatisticalAggregationSumMeanDAT,503.287193,105.014,1.386,6548.702
run_112,DONE,r5,Polars,Big,StatisticalAggregationSumMeanDAT,29.255365,1906.179,1.407,525.973
run_154,DONE,r7,Pandas,Small,StatisticalAggregationSumMeanDAT,68.35417,125.701,0.148,867.904
run_94,DONE,r4,Polars,Small,StatisticalAggregationSumMeanDAT,3.826046,2043.0,0.2,49.496
run_214,DONE,r9,Polars,Small,StatisticalAggregationSumMeanDAT,3.783578,1630.667,0.2,50.311
run_147,DONE,r7,Pandas,Big,StatisticalAggregationMinMaxUnique,495.110013,105.191,1.384,6384.464
run_38,DONE,r2,Polars,Big,MissingDataDAT,51.063029,1640.918,2.059,750.688
run_74,DONE,r4,Pandas,Big,MissingDataDAT,695.712208,102.816,2.292,9072.746
run_106,DONE,r5,Pandas,Small,StatisticalAggregationSumMeanDAT,68.399259,128.075,0.14,858.435
run_134,DONE,r6,Polars,Big,MissingDataDAT,48.857637,1675.106,2.026,866.426
run_230,DONE,r10,Polars,Big,MissingDataDAT,50.170108,1668.75,2.056,928.264
run_55,DONE,r3,Pandas,Small,InputOutputDAT,108.478253,121.402,0.146,1388.395
run_6,DONE,r1,Pandas,Small,FileTypes,76.965537,121.413,0.153,995.238
run_105,DONE,r5,Pandas,Small,StatisticalAggregationMinMaxUnique,66.056845,117.092,0.143,838.134
run_103,DONE,r5,Pandas,Small,InputOutputDAT,107.808729,118.962,0.151,1374.062
run_199,DONE,r9,Pandas,Small,InputOutputDAT,107.851908,121.925,0.15,1345.353
run_60,DONE,r3,Polars,Big,FileTypes,92.973097,746.802,1.448,1268.544
run_208,DONE,r9,Polars,Big,StatisticalAggregationSumMeanDAT,29.481485,1967.179,1.421,535.489
run_168,DONE,r8,Pandas,Big,FileTypes,592.738931,103.648,1.538,7624.603
run_233,DONE,r10,Polars,Big,ViewData,72.621582,2631.783,1.941,1681.862
run_21,DONE,r1,Polars,Small,StatisticalAggregationMinMaxUnique,4.165045,1869.333,0.233,51.209
run_45,DONE,r2,Polars,Small,StatisticalAggregationMinMaxUnique,4.059267,1769.667,0.2,51.939
run_121,DONE,r6,Pandas,Big,InputOutputDAT,1017.330473,104.779,1.458,12772.242
run_158,DONE,r7,Polars,Big,MissingDataDAT,51.296153,1685.265,2.012,968.379
run_132,DONE,r6,Polars,Big,FileTypes,93.898233,749.88,1.432,1290.073
run_238,DONE,r10,Polars,Small,StatisticalAggregationSumMeanDAT,3.789577,2049.667,0.2,51.568
run_50,DONE,r3,Pandas,Big,MissingDataDAT,698.821764,103.552,2.284,8966.617
run_95,DONE,r4,Polars,Small,ViewData,9.507542,2580.556,0.311,240.043
run_148,DONE,r7,Pandas,Big,StatisticalAggregationSumMeanDAT,497.576781,105.112,1.399,6493.443
run_75,DONE,r4,Pandas,Big,StatisticalAggregationMinMaxUnique,497.558184,104.794,1.385,6390.952
run_64,DONE,r3,Polars,Big,StatisticalAggregationSumMeanDAT,28.74565,2036.296,1.47,480.217
run_90,DONE,r4,Polars,Small,FileTypes,12.011389,731.818,0.273,159.899
run_10,DONE,r1,Pandas,Small,StatisticalAggregationSumMeanDAT,67.557431,128.773,0.144,874.096
run_220,DONE,r10,Pandas,Big,StatisticalAggregationSumMeanDAT,507.737511,104.946,1.388,6543.0
run_46,DONE,r2,Polars,Small,StatisticalAggregationSumMeanDAT,3.750374,2059.333,0.2,0.0
run_111,DONE,r5,Polars,Big,StatisticalAggregationMinMaxUnique,32.039588,1642.967,1.4,545.257
run_116,DONE,r5,Polars,Small,MissingDataDAT,6.649713,1672.0,0.4,91.305
run_2,DONE,r1,Pandas,Big,MissingDataDAT,700.572643,103.548,2.298,9034.914
